id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
129152,2002,1,2002,2002,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,1,"""Jakarta Post,2002-04-12,Military offensive kills five separatists in Aceh.""",Jakarta Post,2002-04-12,Military offensive kills five separatists in Aceh.,"GAM Deputy Commander Cut Manyak, army major Zaenal Mutaqin",2,Lhokseumawe town,Aceh Province,North Aceh Regency,5.188056,97.140278,POINT (97.140278 5.188056),137355,Indonesia,850,IDN,Asia,1,2,2002-04-09,2002-04-10,2,4,0,0,6,6,6
141333,1997,1,1997,1997,2,4755,Dayak - Madurese,5365,Dayak - Madurese,819,,Dayak,820,,Madurese,-1,"Reuters, 1997-01-03, Five dead, thousands flee in Indonesia riot",,,,"officials, Jakarta Post",1,Sanggau Ledo village,Kalimantan Barat Province,Bengkayang Regency,1.162194,109.591773,POINT (109.591773 1.162194),131620,Indonesia,850,IDN,Asia,1,2,1997-01-01,1997-01-02,0,0,0,5,5,5,5
141612,2011,0,2011,2011,2,4903,Christians (Indonesia) - Muslims (Indonesia),5513,Christians (Indonesia) - Muslims (Indonesia),860,,Christians (Indonesia),861,,Muslims (Indonesia),-1,"BBC Monitoring Asia-Pacific, 2011-09-13, Death toll in Indonesian violence rises to six",,,,Maluku governor,1,Ambon town,Maluku Province,Kota Ambon,-3.705,128.17,POINT (128.170000 -3.705000),124457,Indonesia,850,IDN,Asia,1,1,2011-09-12,2011-09-12,0,0,0,3,3,3,3
141885,1990,1,1990,1990,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,"HRW, 1990-12-27, Indonesia: Human Rights Abuses in Aceh: AI, 1993-12-27",,,,"eyewitnesses, HRW, AI, local human rights NGO",1,Buloh Blang Ara village,Aceh Province,North Aceh Regency,5.112478,97.077766,POINT (97.077766 5.112478),137355,Indonesia,850,IDN,Asia,1,1,1990-07-14,1990-07-14,0,0,26,0,26,26,26
140960,1990,1,1990,1990,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"HRW, 1990-12-27, Indonesia: Human Rights Abuses in Aceh",,,,HRW,1,Ulee Rubek Barat,Aceh Province,North Aceh Regency,5.2118,97.4084,POINT (97.408400 5.211800),137355,Indonesia,850,IDN,Asia,1,1,1990-07-24,1990-07-24,0,0,0,1,1,1,1
141853,1991,1,1991,1991,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"HRW, 1992-02-19, COMMISSION OF INQUIRY NEEDED FOR ACEH",,,,GAM,2,Mila village,Aceh Province,Pidie Regency,5.3039,95.9125,POINT (95.912500 5.303900),137352,Indonesia,850,IDN,Asia,1,1,1991-11-04,1991-11-04,0,2,0,0,2,2,2
141805,1993,0,1993,1993,1,330,Indonesia: East Timor,720,Government of Indonesia - CNRT,155,850.0,Government of Indonesia,290,,CNRT,-1,Reuters 3/19/1993 Rebels kill soldiers and students in East Timor,,,,Antara (state) news agency,1,Lospalos,Timor Timur Province,Lautém Regency,-8.52222,127.0,POINT (127.000000 -8.522220),117255,Indonesia,850,IDN,Asia,1,1,1993-03-17,1993-03-17,2,0,2,0,4,4,4
140758,1996,0,1996,1996,3,493,Government of Indonesia - Civilians,960,Government of Indonesia - Civilians,155,850.0,Government of Indonesia,1,,Civilians,-1,BBC 9/21/1996 EAST TIMOR RESISTANCE CLAIMS TWO MEN KILLED BY GOVERNMENT TROOPS,,,,FRETILIN,3,Viqueque Regency,Timor Timur Province,Viqueque Regency,-8.783333,126.366667,POINT (126.366667 -8.783333),117253,Indonesia,850,IDN,Asia,1,1,1996-09-19,1996-09-19,0,0,0,2,2,2,2
163569,2003,1,2003,2003,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,AP 2004-01-01,,,,Military spokesman,4,Aceh Province,Aceh Province,,5.55,95.316667,POINT (95.316667 5.550000),138071,Indonesia,850,IDN,Asia,2,5,2003-05-19,2003-12-31,0,0,0,0,0,0,473
141273,1999,1,1999,1999,1,366,Indonesia: Aceh,794,Government of Indonesia - GAM,155,850.0,Government of Indonesia,327,,GAM,-1,"Tadjoeddin (2002) ""Database on Social Violence in Indonesia, 1990-2001",,,,,1,Geurute village,Aceh Province,West Aceh Regency,5.116357,95.319102,POINT (95.319102 5.116357),137351,Indonesia,850,IDN,Asia,1,1,1999-12-01,1999-12-01,0,0,0,0,0,0,1
163807,2004,1,2004,2004,3,524,GAM - Civilians,991,GAM - Civilians,327,,GAM,1,,Civilians,-1,AFP 16/4,,,,Capt. Chandra Purnama,3,Pidie Regency,Aceh Province,Pidie Regency,4.66667,96.0,POINT (96.000000 4.666670),136633,Indonesia,850,IDN,Asia,1,1,2004-04-16,2004-04-16,0,0,0,0,0,0,1
